,hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
0,38007,1,CDM,HC GROUP THERAPY 30 MIN PSYCH IP,900,1005263,,,,,90853,,,,,,,,,,facility,both,gross,,,155,,Capitation,,
1,38007,2,CDM,HC GROUP THERAPY 30 MIN PSYCH IP,900,1005263,,,,,90853,,,,,,,,,,facility,both,cash,,,100.75,,Capitation,,
2,38007,3,CDM,HC PSY DIAG INTERVIEW BRIEF,969,1067750,,,,,90791,,,,,,,,,,facility,both,gross,,,223,,Capitation,,
3,38007,4,CDM,HC PSY DIAG INTERVIEW BRIEF,969,1067750,,,,,90791,,,,,,,,,,facility,both,cash,,,144.95,,Capitation,,
4,38007,5,CDM,HC PSY DIAG INTERVIEW INTERM,969,1067768,,,,,90791,,,,,,,,,,facility,both,gross,,,389,,Capitation,,
5,38007,6,CDM,HC PSY DIAG INTERVIEW INTERM,969,1067768,,,,,90791,,,,,,,,,,facility,both,cash,,,252.85,,Capitation,,
6,38007,7,CDM,HC PSY DIAG INTERVIEW EXTEND,969,1067776,,,,,90791,,,,,,,,,,facility,both,gross,,,558,,Capitation,,
7,38007,8,CDM,HC PSY DIAG INTERVIEW EXTEND,969,1067776,,,,,90791,,,,,,,,,,facility,both,cash,,,362.7,,Capitation,,
8,38007,9,CDM,HC PSY NEUROBEHAV EXAM 60MIN,969,1067818,,,,,96116,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
9,38007,10,CDM,HC PSY NEUROBEHAV EXAM 60MIN,969,1067818,,,,,96116,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
10,38007,11,CDM,HC PSY IND PSYCH TX 30MIN IP,969,1067826,,,,,90832,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
11,38007,12,CDM,HC PSY IND PSYCH TX 30MIN IP,969,1067826,,,,,90832,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
12,38007,13,CDM,HC PSY IND TREATMENT 30 MIN,969,1067834,,,,,90832,,,,,,,,,,facility,both,gross,,,246,,Capitation,,
13,38007,14,CDM,HC PSY IND TREATMENT 30 MIN,969,1067834,,,,,90832,,,,,,,,,,facility,both,cash,,,159.9,,Capitation,,
14,38007,15,CDM,HC PSY IND PSYCH TX 60MIN IP,969,1067842,,,,,90837,,,,,,,,,,facility,both,gross,,,346,,Capitation,,
15,38007,16,CDM,HC PSY IND PSYCH TX 60MIN IP,969,1067842,,,,,90837,,,,,,,,,,facility,both,cash,,,224.9,,Capitation,,
16,38007,17,CDM,HC PSY IND TREATMENT 45 MIN,969,1067859,,,,,90834,,,,,,,,,,facility,both,gross,,,270,,Capitation,,
17,38007,18,CDM,HC PSY IND TREATMENT 45 MIN,969,1067859,,,,,90834,,,,,,,,,,facility,both,cash,,,175.5,,Capitation,,
18,38007,19,CDM,HC PSY IND TREATMENT 60 MIN,969,1067875,,,,,90837,,,,,,,,,,facility,both,gross,,,403,,Capitation,,
19,38007,20,CDM,HC PSY IND TREATMENT 60 MIN,969,1067875,,,,,90837,,,,,,,,,,facility,both,cash,,,261.95,,Capitation,,
20,38007,21,CDM,HC PSY FAMILY PSYCH TX 30MIN,916,1067883,,,,,90846,,,,,,,,,,facility,both,gross,,,207,,Capitation,,
21,38007,22,CDM,HC PSY FAMILY PSYCH TX 30MIN,916,1067883,,,,,90846,,,,,,,,,,facility,both,cash,,,134.55,,Capitation,,
22,38007,23,CDM,HC PSY FAMILY PSYCH TX 60MIN,969,1067891,,,,,90846,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
23,38007,24,CDM,HC PSY FAMILY PSYCH TX 60MIN,969,1067891,,,,,90846,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
24,38007,25,CDM,HC PSY CONJNT PSYCH TX 30MIN,900,1067909,,,,,90847,,,,,,,,,,facility,both,gross,,,206,,Capitation,,
25,38007,26,CDM,HC PSY CONJNT PSYCH TX 30MIN,900,1067909,,,,,90847,,,,,,,,,,facility,both,cash,,,133.9,,Capitation,,
