,hospital_id,row_id,line_type,description,rev_code,local code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_unit_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
0,Legacy Good Samaritan Medical Center,1,CDM,HC PSY DIAG INTERVIEW BRIEF,969,1067750,,,,,90791,,,,,,,,,,facility,both,gross,,,223,,Capitation,,
1,Legacy Good Samaritan Medical Center,2,CDM,HC PSY DIAG INTERVIEW BRIEF,969,1067750,,,,,90791,,,,,,,,,,facility,both,cash,,,144.95,,Capitation,,
2,Legacy Good Samaritan Medical Center,3,CDM,HC PSY DIAG INTERVIEW INTERM,969,1067768,,,,,90791,,,,,,,,,,facility,both,gross,,,389,,Capitation,,
3,Legacy Good Samaritan Medical Center,4,CDM,HC PSY DIAG INTERVIEW INTERM,969,1067768,,,,,90791,,,,,,,,,,facility,both,cash,,,252.85,,Capitation,,
4,Legacy Good Samaritan Medical Center,5,CDM,HC PSY DIAG INTERVIEW EXTEND,969,1067776,,,,,90791,,,,,,,,,,facility,both,gross,,,558,,Capitation,,
5,Legacy Good Samaritan Medical Center,6,CDM,HC PSY DIAG INTERVIEW EXTEND,969,1067776,,,,,90791,,,,,,,,,,facility,both,cash,,,362.7,,Capitation,,
6,Legacy Good Samaritan Medical Center,7,CDM,HC PSY NEUROBEHAV EXAM 60MIN,969,1067818,,,,,96116,,,,,,,,,,facility,both,gross,,,388,,Capitation,,
7,Legacy Good Samaritan Medical Center,8,CDM,HC PSY NEUROBEHAV EXAM 60MIN,969,1067818,,,,,96116,,,,,,,,,,facility,both,cash,,,252.2,,Capitation,,
8,Legacy Good Samaritan Medical Center,9,CDM,HC PSY IND PSYCH TX 30MIN IP,969,1067826,,,,,90832,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
9,Legacy Good Samaritan Medical Center,10,CDM,HC PSY IND PSYCH TX 30MIN IP,969,1067826,,,,,90832,,,,,,,,,,facility,both,cash,,,137.8,,Capitation,,
10,Legacy Good Samaritan Medical Center,11,CDM,HC PSY IND TREATMENT 30 MIN,969,1067834,,,,,90832,,,,,,,,,,facility,both,gross,,,246,,Capitation,,
11,Legacy Good Samaritan Medical Center,12,CDM,HC PSY IND TREATMENT 30 MIN,969,1067834,,,,,90832,,,,,,,,,,facility,both,cash,,,159.9,,Capitation,,
12,Legacy Good Samaritan Medical Center,13,CDM,HC PSY IND PSYCH TX 60MIN IP,969,1067842,,,,,90837,,,,,,,,,,facility,both,gross,,,346,,Capitation,,
13,Legacy Good Samaritan Medical Center,14,CDM,HC PSY IND PSYCH TX 60MIN IP,969,1067842,,,,,90837,,,,,,,,,,facility,both,cash,,,224.9,,Capitation,,
14,Legacy Good Samaritan Medical Center,15,CDM,HC PSY IND TREATMENT 45 MIN,969,1067859,,,,,90834,,,,,,,,,,facility,both,gross,,,270,,Capitation,,
15,Legacy Good Samaritan Medical Center,16,CDM,HC PSY IND TREATMENT 45 MIN,969,1067859,,,,,90834,,,,,,,,,,facility,both,cash,,,175.5,,Capitation,,
16,Legacy Good Samaritan Medical Center,17,CDM,HC PSY IND TREATMENT 60 MIN,969,1067875,,,,,90837,,,,,,,,,,facility,both,gross,,,403,,Capitation,,
17,Legacy Good Samaritan Medical Center,18,CDM,HC PSY IND TREATMENT 60 MIN,969,1067875,,,,,90837,,,,,,,,,,facility,both,cash,,,261.95,,Capitation,,
18,Legacy Good Samaritan Medical Center,19,CDM,HC PSY FAMILY PSYCH TX 30MIN,916,1067883,,,,,90846,,,,,,,,,,facility,both,gross,,,207,,Capitation,,
19,Legacy Good Samaritan Medical Center,20,CDM,HC PSY FAMILY PSYCH TX 30MIN,916,1067883,,,,,90846,,,,,,,,,,facility,both,cash,,,134.55,,Capitation,,
20,Legacy Good Samaritan Medical Center,21,CDM,HC PSY FAMILY PSYCH TX 60MIN,969,1067891,,,,,90846,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
21,Legacy Good Samaritan Medical Center,22,CDM,HC PSY FAMILY PSYCH TX 60MIN,969,1067891,,,,,90846,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
22,Legacy Good Samaritan Medical Center,23,CDM,HC PSY CONJNT PSYCH TX 30MIN,900,1067909,,,,,90847,,,,,,,,,,facility,both,gross,,,206,,Capitation,,
23,Legacy Good Samaritan Medical Center,24,CDM,HC PSY CONJNT PSYCH TX 30MIN,900,1067909,,,,,90847,,,,,,,,,,facility,both,cash,,,133.9,,Capitation,,
24,Legacy Good Samaritan Medical Center,25,CDM,HC PSY CONJNT PSYCH TX 60MIN,900,1067917,,,,,90847,,,,,,,,,,facility,both,gross,,,371,,Capitation,,
25,Legacy Good Samaritan Medical Center,26,CDM,HC PSY CONJNT PSYCH TX 60MIN,900,1067917,,,,,90847,,,,,,,,,,facility,both,cash,,,241.15,,Capitation,,
26,Legacy Good Samaritan Medical Center,27,CDM,HC PSY CONSULT PSYCH 15 MIN,969,1067925,,,,,90887,,,,,,,,,,facility,both,gross,,,123,,Capitation,,
27,Legacy Good Samaritan Medical Center,28,CDM,HC PSY CONSULT PSYCH 15 MIN,969,1067925,,,,,90887,,,,,,,,,,facility,both,cash,,,79.95,,Capitation,,
28,Legacy Good Samaritan Medical Center,29,CDM,HC PSY CONSULT PSYCH 30 MIN,969,1067933,,,,,90887,,,,,,,,,,facility,both,gross,,,198,,Capitation,,
29,Legacy Good Samaritan Medical Center,30,CDM,HC PSY CONSULT PSYCH 30 MIN,969,1067933,,,,,90887,,,,,,,,,,facility,both,cash,,,128.7,,Capitation,,
30,Legacy Good Samaritan Medical Center,31,CDM,HC PSY CONF W/O PT,969,1067941,,,,,90887,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
31,Legacy Good Samaritan Medical Center,32,CDM,HC PSY CONF W/O PT,969,1067941,,,,,90887,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
32,Legacy Good Samaritan Medical Center,33,CDM,HC PSY CONF PSYCH 15 MIN,969,1067958,,,,,90887,,,,,,,,,,facility,both,gross,,,104,,Capitation,,
33,Legacy Good Samaritan Medical Center,34,CDM,HC PSY CONF PSYCH 15 MIN,969,1067958,,,,,90887,,,,,,,,,,facility,both,cash,,,67.6,,Capitation,,
34,Legacy Good Samaritan Medical Center,35,CDM,HC PSY CONF PSYCH 30 MIN,969,1067966,,,,,90887,,,,,,,,,,facility,both,gross,,,198,,Capitation,,
35,Legacy Good Samaritan Medical Center,36,CDM,HC PSY CONF PSYCH 30 MIN,969,1067966,,,,,90887,,,,,,,,,,facility,both,cash,,,128.7,,Capitation,,
36,Legacy Good Samaritan Medical Center,37,CDM,HC PSY CONF PSYCH 60 MIN,969,1067974,,,,,90887,,,,,,,,,,facility,both,gross,,,306,,Capitation,,
37,Legacy Good Samaritan Medical Center,38,CDM,HC PSY CONF PSYCH 60 MIN,969,1067974,,,,,90887,,,,,,,,,,facility,both,cash,,,198.9,,Capitation,,
38,Legacy Good Samaritan Medical Center,39,CDM,HC PSY RVW RECORDS PREP RPT,969,1067982,,,,,90889,,,,,,,,,,facility,both,gross,,,183,,Capitation,,
39,Legacy Good Samaritan Medical Center,40,CDM,HC PSY RVW RECORDS PREP RPT,969,1067982,,,,,90889,,,,,,,,,,facility,both,cash,,,118.95,,Capitation,,
40,Legacy Good Samaritan Medical Center,41,CDM,HC PSY DEVELOPMENT TEST LMTD,918,1067990,,,,,96110,,,,,,,,,,facility,both,gross,,,286,,Capitation,,
41,Legacy Good Samaritan Medical Center,42,CDM,HC PSY DEVELOPMENT TEST LMTD,918,1067990,,,,,96110,,,,,,,,,,facility,both,cash,,,185.9,,Capitation,,
42,Legacy Good Samaritan Medical Center,43,CDM,HC PSY PSYCH GROUP TX 30 MIN,969,1068022,,,,,90853,,,,,,,,,,facility,both,gross,,,108,,Capitation,,
43,Legacy Good Samaritan Medical Center,44,CDM,HC PSY PSYCH GROUP TX 30 MIN,969,1068022,,,,,90853,,,,,,,,,,facility,both,cash,,,70.2,,Capitation,,
44,Legacy Good Samaritan Medical Center,45,CDM,HC PSY PSYCH GROUP TX 60 MIN,969,1068030,,,,,90853,,,,,,,,,,facility,both,gross,,,212,,Capitation,,
