,Hospital,Procedure Code,HCPCS,Code Code,Procedure Name,Affiliation,Cost
0,Legacy Good Samaritan Medical Center,969,90791,CDM Revenue Code,HC PSY DIAG INTERVIEW BRIEF,Normal Price,223
1,Legacy Good Samaritan Medical Center,969,90791,CDM Revenue Code,HC PSY DIAG INTERVIEW INTERM,Normal Price,389
2,Legacy Good Samaritan Medical Center,969,90791,CDM Revenue Code,HC PSY DIAG INTERVIEW EXTEND,Normal Price,558
3,Legacy Good Samaritan Medical Center,969,96116,CDM Revenue Code,HC PSY NEUROBEHAV EXAM 60MIN,Normal Price,388
4,Legacy Good Samaritan Medical Center,969,90832,CDM Revenue Code,HC PSY IND PSYCH TX 30MIN IP,Normal Price,212
5,Legacy Good Samaritan Medical Center,969,90832,CDM Revenue Code,HC PSY IND TREATMENT 30 MIN,Normal Price,246
6,Legacy Good Samaritan Medical Center,969,90837,CDM Revenue Code,HC PSY IND PSYCH TX 60MIN IP,Normal Price,346
7,Legacy Good Samaritan Medical Center,969,90834,CDM Revenue Code,HC PSY IND TREATMENT 45 MIN,Normal Price,270
8,Legacy Good Samaritan Medical Center,969,90837,CDM Revenue Code,HC PSY IND TREATMENT 60 MIN,Normal Price,403
9,Legacy Good Samaritan Medical Center,916,90846,CDM Revenue Code,HC PSY FAMILY PSYCH TX 30MIN,Normal Price,207
10,Legacy Good Samaritan Medical Center,969,90846,CDM Revenue Code,HC PSY FAMILY PSYCH TX 60MIN,Normal Price,306
11,Legacy Good Samaritan Medical Center,900,90847,CDM Revenue Code,HC PSY CONJNT PSYCH TX 30MIN,Normal Price,206
12,Legacy Good Samaritan Medical Center,900,90847,CDM Revenue Code,HC PSY CONJNT PSYCH TX 60MIN,Normal Price,371
13,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONSULT PSYCH 15 MIN,Normal Price,123
14,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONSULT PSYCH 30 MIN,Normal Price,198
15,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONF W/O PT,Normal Price,306
16,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONF PSYCH 15 MIN,Normal Price,104
17,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONF PSYCH 30 MIN,Normal Price,198
18,Legacy Good Samaritan Medical Center,969,90887,CDM Revenue Code,HC PSY CONF PSYCH 60 MIN,Normal Price,306
19,Legacy Good Samaritan Medical Center,969,90889,CDM Revenue Code,HC PSY RVW RECORDS PREP RPT,Normal Price,183
20,Legacy Good Samaritan Medical Center,918,96110,CDM Revenue Code,HC PSY DEVELOPMENT TEST LMTD,Normal Price,286
21,Legacy Good Samaritan Medical Center,969,90853,CDM Revenue Code,HC PSY PSYCH GROUP TX 30 MIN,Normal Price,108
22,Legacy Good Samaritan Medical Center,969,90853,CDM Revenue Code,HC PSY PSYCH GROUP TX 60 MIN,Normal Price,212
23,Legacy Good Samaritan Medical Center,969,90899,CDM Revenue Code,HC PSY MISC PSYCH SERVICE,Normal Price,N/A
24,Legacy Good Samaritan Medical Center,969,90853,CDM Revenue Code,HC PSY PSYCH GROUP TX 90 MINUTES,Normal Price,271
25,Legacy Good Samaritan Medical Center,918,90791,CDM Revenue Code,HC DIAG INTERVIEW INTERM,Normal Price,376
26,Legacy Good Samaritan Medical Center,918,90832,CDM Revenue Code,HC IND TREATMENT 30 MIN,Normal Price,197
27,Legacy Good Samaritan Medical Center,918,90834,CDM Revenue Code,HC IND TREATMENT 45 MIN,Normal Price,268
28,Legacy Good Samaritan Medical Center,918,90837,CDM Revenue Code,HC IND TREATMENT 60 MIN,Normal Price,320
29,Legacy Good Samaritan Medical Center,969,90785,CDM Revenue Code,HC PSY INTERACTIVE COMPLEXITY,Normal Price,10
30,Legacy Good Samaritan Medical Center,969,90839,CDM Revenue Code,HC PSY CRISIS TREATMENT FIRST 60 MIN,Normal Price,413
31,Legacy Good Samaritan Medical Center,969,90840,CDM Revenue Code,HC PSY CRISIS TREATMENT ADDL 30 MIN,Normal Price,212
32,Legacy Good Samaritan Medical Center,969,99366,CDM Revenue Code,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/PT OR FAM,Normal Price,156
33,Legacy Good Samaritan Medical Center,969,99368,CDM Revenue Code,HC PSY NEUROPSYCH CONF/PLAN 30 MIN W/O PT OR FAM,Normal Price,125
34,Legacy Good Samaritan Medical Center,969,90849,CDM Revenue Code,HC PSY MULTI-FAMILY THERAPY 30 MIN,Normal Price,165
35,Legacy Good Samaritan Medical Center,969,90849,CDM Revenue Code,HC PSY MULTI-FAMILY THERAPY 60 MIN,Normal Price,248
36,Legacy Good Samaritan Medical Center,969,90849,CDM Revenue Code,HC PSY MULTI-FAMILY THERAPY 90 MIN,Normal Price,290
37,Legacy Good Samaritan Medical Center,969,90849,CDM Revenue Code,HC PSY MULTI-FAMILY THERAPY 120 MIN,Normal Price,413
38,Legacy Good Samaritan Medical Center,918,96112,CDM Revenue Code,HC DEV TEST ADMIN (1ST HOUR) NEURO,Normal Price,298
39,Legacy Good Samaritan Medical Center,918,96116,CDM Revenue Code,HC NEUROBEHAV EXAM 60MIN,Normal Price,520
40,Legacy Good Samaritan Medical Center,918,96121,CDM Revenue Code,HC NEUROHEHAV EXAM (ADDL HR),Normal Price,321
41,Legacy Good Samaritan Medical Center,918,96130,CDM Revenue Code,HC EVAL SERVICES (1ST HR),Normal Price,310
42,Legacy Good Samaritan Medical Center,918,96131,CDM Revenue Code,HC EVAL SERVICES (ADDL HR),Normal Price,207
