,hospital_id,row_id,line_type,description,rev_code,local_code,code,ms_drg,apr_drg,eapg,hcpcs_cpt,modifiers,thru,apc,icd,ndc,drug_hcpcs_multiplier,drug_quantity,drug_units_of_measurement,drug_type_of_measurement,billing_class,setting,payer_category,payer_name,plan_name,standard_charge,standard_charge_percent,contracting_method,additional_generic_notes,additional_payer_specific_notes
0,383300,1,CPT,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",,,,,,,10120,,,,,,,,,,facility,outpatient,gross,,,10476.22,,Capitation,Package,
1,383300,2,CPT,"REMOVAL OF FOREIGN BODY FROM TISSUE, ACCESSED BENEATH THE SKIN, SIMPLE",,,,,,,10120,,,,,,,,,,facility,outpatient,cash,,,10476.22,,Capitation,Package,
2,383300,3,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,gross,,,364.4,,Capitation,Line,
3,383300,4,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,cash,,,364.4,,Capitation,Line,
4,383300,5,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,min,,,494.3,,Capitation,Line,
5,383300,6,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,max,,,494.3,,Capitation,Line,
7,383300,8,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,494.3,,Capitation,Line,
8,383300,9,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,gross,,,494.3,,Capitation,Package,
9,383300,10,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,cash,,,494.3,,Capitation,Package,
10,383300,11,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,min,,,494.3,,Capitation,Package,
11,383300,12,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,max,,,494.3,,Capitation,Package,
13,383300,14,CPT,"ASPIRATION OF ABSCESS, BLOOD, OR CYST",,,,,,,10160,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,494.3,,Capitation,Package,
14,383300,15,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,gross,,,8008.15,,Capitation,Line,
15,383300,16,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,cash,,,8008.15,,Capitation,Line,
16,383300,17,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,min,,,157.94,,Capitation,Line,
17,383300,18,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,max,,,1927.76,,Capitation,Line,
19,383300,20,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,157.94,,Capitation,Line,
20,383300,21,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,158.65,,Capitation,Line,
21,383300,22,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1927.76,,Capitation,Line,
22,383300,23,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,gross,,,8611.51,,Capitation,Package,
23,383300,24,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,cash,,,8611.51,,Capitation,Package,
24,383300,25,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,min,,,157.94,,Capitation,Package,
25,383300,26,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,max,,,1927.76,,Capitation,Package,
27,383300,28,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,CareOregon-Medicaid HMO,,157.94,,Capitation,Package,
28,383300,29,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,158.65,,Capitation,Package,
29,383300,30,CPT,"REMOVAL OF BONE, 20.0 SQ CM OR LESS",,,,,,,11044,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,1927.76,,Capitation,Package,
30,383300,31,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,gross,,,6402.11,,Capitation,Line,
31,383300,32,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,cash,,,6402.11,,Capitation,Line,
32,383300,33,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,min,,,165.91,,Capitation,Line,
33,383300,34,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,max,,,2985.88,,Capitation,Line,
35,383300,36,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,2985.88,,Capitation,Line,
36,383300,37,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,165.91,,Capitation,Line,
37,383300,38,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,545.64,,Capitation,Line,
38,383300,39,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,gross,,,7283.26,,Capitation,,
39,383300,40,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,cash,,,7283.26,,Capitation,,
40,383300,41,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,min,,,165.91,,Capitation,,
41,383300,42,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,max,,,2985.88,,Capitation,,
43,383300,44,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,Pacific Source-Medicaid HMO,,2985.88,,Capitation,,
44,383300,45,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,Regence BCBS-Commercial other,,165.91,,Capitation,,
45,383300,46,CPT,"REMOVAL OF SKIN TAG, 1-15 SKIN TAGS",,,,,,,11200,,,,,,,,,,facility,outpatient,payer,United Healthcare-Commercial HMO/POS,,545.64,,Capitation,,
46,383300,47,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",,,,,,,11400,,,,,,,,,,facility,outpatient,gross,,,9768.2,,Capitation,Line,
47,383300,48,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",,,,,,,11400,,,,,,,,,,facility,outpatient,cash,,,9768.2,,Capitation,Line,
48,383300,49,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",,,,,,,11400,,,,,,,,,,facility,outpatient,gross,,,9901.91,,Capitation,Package,
49,383300,50,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 0.5 CM OR LESS",,,,,,,11400,,,,,,,,,,facility,outpatient,cash,,,9901.91,,Capitation,Package,
50,383300,51,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",,,,,,,11402,,,,,,,,,,facility,outpatient,gross,,,1108.82,,Capitation,Line,
51,383300,52,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",,,,,,,11402,,,,,,,,,,facility,outpatient,cash,,,1108.82,,Capitation,Line,
52,383300,53,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",,,,,,,11402,,,,,,,,,,facility,outpatient,gross,,,2917.01,,Capitation,Package,
53,383300,54,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 1.1-2.0 CM",,,,,,,11402,,,,,,,,,,facility,outpatient,cash,,,2917.01,,Capitation,Package,
54,383300,55,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,gross,,,5544.1,,Capitation,Line,
55,383300,56,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,cash,,,5544.1,,Capitation,Line,
56,383300,57,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,min,,,778.86,,Capitation,Line,
57,383300,58,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,max,,,778.86,,Capitation,Line,
59,383300,60,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,payer,ODS-Medicaid HMO,,778.86,,Capitation,Line,
60,383300,61,CPT,"REMOVAL OF NONCANCER SKIN GROWTH OF BODY, ARMS, OR LEGS, 2.1-3.0 CM",,,,,,,11403,,,,,,,,,,facility,outpatient,gross,,,11842.81,,Capitation,Package,
